ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
2915,SAO JOSE DO MARANHAO COLEGIO,R ARNALDO CINTRA,72,,03088-000,+55 11 2942-9177,,,maranhao@osite.com.br,35168661,EP
2916,NOSSA SENHORA DO CARMO COLEGIO FRANCISCANO,RUA COSTA BARROS,478,,03210-000,+55 11 2084-7300,,,,35101710,EP
2917,BRISABELLA ALMEIDA NOBRE PROFESSORA,RUA SANTA GENOVEVA,47,,03213-050,+55 11 2917-2619,+55 11 2912-7829,+55 11 2917-2619,e001797a@educacao.sp.gov.br,35001797,EE
2918,BRASILIENSE COLEGIO,AV ALBERTO RAMOS,450,,03222-000,+55 11 2910-9151,,,ferminov@terra.com.br,35142700,EP
2919,CONSERVATORIO NACIONAL DE CULTURA MUSICAL,R NELSON DE GODOI PEREIRA,98,,03325-010,+55 11 2673-8477,+55 11 2673-0288,,cncmtatuape@hotmail.com,35251264,EP
2920,ALGODAO DOCE DO TATUAPE CENTRO RECREATIVO EDUCATIVO,R MONTE SERRAT,818,,03312-001,+55 11 2094-5663,,,,35293097,EP
2921,XODO CENTRO DE RECREACAO EDUCACAO INFANTIL,RUA AZEVEDO SOARES,1580,,03322-001,,,,,35164136,EP
2922,UNIVERSO ESCOLA DE EDUCACAO INFANTIL,R ELEONORA CINTRA,360,,03337-000,,,,,35445605,EP
2923,WISH EDUCACAO BILINGUE,RUA PROFESSOR JOAO DE OLIVEIRA TORRES,531,,03337-010,+55 11 2659-0486,,,contato@wishanaliafranco.com.br,35445484,EP
2924,JARDIM ANALIA FRANCO COLEGIO,R LUCILIA DE QUEIROZ,25,,03336-020,+55 11 2671-2735,+55 11 2672-4293,+55 11 2671-2171,secretaria@colegioanaliafranco.com.br,35136918,EP
2925,JOY ARRUDA DOUTOR,R BATUNS,52,,03273-410,+55 11 2211-0319,+55 11 2213-6719,+55 11 2211-0319,e001806a@educacao.sp.gov.br,35001806,EE
2926,QUINTINO BOCAIUVA EMEI,RUA MONTE SERRAT,468,,03312-000,+55 11 2097-2788,+55 11 2295-3555,+55 11 2097-2788,,35052395,EMEI
2927,AFONSO CELSO EMEI,PRACA BELCHIOR DE BORBA,61,,03206-070,+55 11 2917-1024,+55 11 2917-5643,+55 11 2917-5643,,35082326,EMEI
2928,BEIT COLLEGE AMERICAN BILINGUAL SCHOOL,RUA PROFESSOR JOAO DE OLIVEIRA TORRES,445,,03337-010,+55 11 2503-8738,+55 11 2503-8739,,beitkids@yahoo.com.br,35440693,EP
2929,GABRIELA MISTRAL,R MAJOR BARACCA,584,,02232-000,+55 11 2240-1033,,+55 11 2243-4730,e001089a@educacao.sp.gov.br,35001089,EE
2930,JOHANN GUTENBERG,R CAPITAO BUSSE,391,,02232-050,+55 11 2249-4099,+55 11 2242-7216,+55 11 2242-7216,e001041a@educacao.sp.gov.br,35001041,EE
2931,CARRAO I CEI INDIRETO,RUA SALVADOR DE LIMA,02,,03070-020,+55 11 2941-4150,,+55 11 2941-4150,,35307932,CEI INDIR
2932,LUTERANO SAO PAULO COLEGIO,RUA ARTUR BERNARDES,453,,03349-020,+55 11 2672-2922,,+55 11 2675-1144,direcao@luterano.com.br,35063071,EP
2933,COLEGIO AVELINO,AV FRANCISCO FALCONI,1524,,03227-000,+55 11 2341-0038,,,,35469312,EP
2934,MARTIN LUTHER KING ETEC,RUA APUCARANA,815,,03311-000,+55 11 2093-8636,,+55 11 2091-7465,etemlk@terra.com.br,35002185,PAULA SOUZA
2935,JOAO DIAS DA SILVEIRA PROFESSOR,R SOUSA BREVES,80,,03069-060,+55 11 2097-0293,+55 11 2091-6860,,e002008a@educacao.sp.gov.br,35002008,EE
2936,CEL JTO A EE JOAO DIAS DA SILVEIRA PROFESSOR,R SOUSA BREVES,80,,03069-060,+55 11 2097-0293,,+55 11 2097-2935,e002008a@educacao.sp.gov.br,35985041,CEL
2937,BAMBYNOS ESCOLA DE EDUCACAO INFANTIL,RUA FRANCISCO REBELO,794,,03212-000,+55 11 2917-5687,,,,35801159,EP
2938,LEONOR MENDES DE BARROS EMEF,RUA RAYMUNDO CORREIA,5,,03351-050,+55 11 2028-3765,+55 11 2965-2276,,,35053036,EMEF
2939,ANJINHOS DO MILENIO ESCOLA DE EDUCACAO INFANTIL,R BOAVENTURA DE SOUZA,269,,02230-015,+55 11 2244-8242,,,,35292783,EP
2940,NOSSO LAR CRECHE 2,RUA JALISCO,158,,03343-030,+55 11 2966-7705,,,,35806961,CR.P.CONV
2941,DIFERENCIAL COLEGIO,R PONTALETE,73,,02231-030,+55 11 2987-0941,,,patriciafsrodrigues@hotmail.com,35368994,EP
2942,MARIO ALVES DE CARVALHO DR EMEI,PARQUE DOM PEDRO I,SN,,03351-125,+55 11 2671-0067,+55 11 2671-2684,+55 11 2671-0067,,35052036,EMEI
2943,MARIO MARQUES DE OLIVEIRA PROFESSOR,R BUENOPOLIS,234,,03161-010,+55 11 2965-5814,,+55 11 2965-0384,e001703a@educacao.sp.gov.br,35001703,EE
2944,JEITINHO DE CRIANCA EEI,RUA ITAPETI,721,,03324-000,+55 11 2941-9222,,,,35164070,EP
2945,UNIVERSIDADE CRUZEIRO DO SUL TATUAPE EEP,AV REGENTE FEIJO,1295,,03342-000,+55 11 2037-5766,,,ines.confuorto@cruzeirodosul.edu.br,35562385,PRONATEC/IES
2946,ISAI LEIRNER,R PLACIDO DE CASTRO,221,,03349-030,+55 11 2671-6580,,+55 11 2671-1399,e001417a@educacao.sp.gov.br,35001417,EE
2947,CASTELINHO DA ALEGRIA DO TATUAPE EEI,RUA VILELA,915,,03314-000,+55 11 2295-1920,,,,35266224,EP
2948,EXATUS COLEGIO E VESTIBULARES,R DOUTOR CORINTO BALDOINO COSTA,165,,03069-070,+55 11 2941-1196,+55 11 2091-5733,+55 11 2941-1196,exatus.secretaria@yahoo.com.br,35144228,EP
2949,MARY ANNE CRECHE,RUA JOAQUIM PEREIRA PINTO,111,,03226-070,+55 11 2341-8124,,,,35181316,CR.P.CONV
2950,PARQUE NOVO MUNDO CRECHE MUNICIPAL,RUA SOLDADO FRANCISCO FRANCO,351,,02180-040,+55 11 2954-0520,+55 11 2954-7230,,,35238442,CEI DIRET
2951,PEROLA BYINGTON CEI INDIRETA,RUA CAPITAO BUSSE,105,,02232-050,+55 11 2246-5984,,,,35131283,CEI INDIR
2952,FREE WORLD ESCOLA,R JOSE OSCAR ABREU SAMPAIO,310,312,03337-020,+55 11 3798-9991,+55 11 2674-2651,,escolafreeworld@escolafreeworld.com.br,35331570,EP
2953,FREDERICO JACOB ESCOLA SENAI,RUA SAO JORGE,634,,03087-000,+55 11 2227-8020,,,senaimanutencao@sp.senai.br,35147412,SENAI
2954,ROSE VALEZIN CEI COHAB SONDA II,RUA LAMARAO,SN,,02238-310,+55 11 2247-0648,,,,35381123,CEI INDIR
2955,ELISA BRANCO CEI,R TRIPUI,111,,03147-030,+55 11 2917-0534,+55 11 2917-1594,,,35121472,CR.P.CONV
2956,QUEIROZ FILHO PROFESSOR EMEF,RUA FERNANDES SARDINHA,222,,03147-020,+55 11 2917-5130,+55 11 2917-1052,+55 11 2917-5130,,35054987,EMEF
2957,SESI 434 CENTRO EDUCACIONAL,R SERRA DE BRAGANCA,990,,03318-000,+55 11 2095-2372,+55 11 2095-2374,,,35419588,SESI-CE
2958,LAR SIRIO EMEI,RUA SERRA DE BRAGANCA,990,,03318-000,+55 11 2296-4326,+55 11 2293-7250,,,35207731,EMEI
2959,SAMIR RACHID SALIBA CRECHE MUNICIPAL,RUA SERRA DE BRAGANCA,990,,03318-000,+55 11 2293-9828,,,,35237942,CEI DIRET
2960,TANIA FERREIRA ACADEMIA DE BALLET,RUA SIRIA,180,,03086-040,+55 11 2295-9470,,+55 11 2094-3385,acadtaniaferreira@yahoo.com.br,35257175,EP
2961,OLIVIA PALITO BERCARIO UNIDADE II,R PADRE ESTEVAO PERNET,912,,03315-000,+55 11 2097-3640,,,,35293027,EP
2962,LILIENTAL COLEGIO,RUA LILIENTAL,828,,02231-000,+55 11 2242-6654,,+55 11 2242-6654,colegioliliental@hotmail.com,35162425,EP
2963,DIRCE PASTORE DONATO PROFA,R BOM JESUS DA CACHOEIRA,456,,02236-020,+55 11 2242-8025,+55 11 2243-4700,,e046036a@educacao.sp.gov.br,35046036,EE
2964,PARQUE EDU CHAVES CEI DIRETO,RUA HINTEM MARTINS,390,,02229-070,+55 11 6244-5722,,,,35183192,CEI DIRET
2965,BLANCA ZWICKER SIMOES PROFESSORA,R INSPETOR MARIO TEIXEIRA,41,,03335-100,,+55 11 2671-1702,+55 11 2671-2188,e002082a@educacao.sp.gov.br,35002082,EE
2966,FERNAO DIAS CRECHE MUNICIPAL,RUA MERINO,30,,02161-140,+55 11 2201-6189,+55 11 2931-6917,+55 11 2201-6189,,35238430,CEI DIRET
2967,PROBEN CENTRO EDUCACIONAL,RUA INSPETOR MARIO TEIXEIRA,70,,03335-100,+55 11 2674-5356,,+55 11 2674-2353,,35434516,EP
2968,MARIO DA COSTA BARBOSA PROF CRECHE MUNICIPAL,RUA SARGENTO JETER AUGUSTO PEREIRA,121,,02188-070,+55 11 2954-4787,,,,35238466,CEI DIRET
2969,JONISE MAXIMO DA FONSECA PROFA EMEI,RUA MIGUEL ARROJADO LISBOA,153,,02238-090,+55 11 2242-3900,+55 11 2246-7167,,,35095597,EMEI
2970,ROMAO GOMES CORONEL EMEF,RUA SOLDADO JOSE VICENTE DE PAULA,SN,,02180-020,+55 11 2954-6525,+55 11 2954-0551,+55 11 2954-0551,,35054732,EMEF
2971,JOAO FIRMINO DE CAMPOS,RUA VISCONDE DE ALCANTARA,350,,03205-060,,+55 11 2912-7911,+55 11 2917-1999,e001879a@educacao.sp.gov.br,35001879,EE
2972,CHAVE DO TAMANHO CENTRO RECREACAO INFANTIL,RUA LOURENCO VAZ,12,,03087-060,,,,,35164159,EP
2973,CEL JTO A MARIO CASASSANTA,R PARAMU,693,,03147-100,+55 11 2912-8354,,,,35465707,CEL
2974,MARIO CASASSANTA PROFESSOR,RUA PARAMU,693,,03147-100,+55 11 2341-5662,+55 11 2912-8354,+55 11 2341-5662,e001685a@educacao.sp.gov.br,35001685,EE
2975,ECO APRENDER ESCOLA DE EDUCACAO INFANTIL E BERCARIO,R FRANCISCO ZICARDI,104,,03335-090,+55 11 2671-1550,,,priscila@ecoaprender.com.br,35293106,EP
2976,FRATERNIDADE IRMA AMELIA CRECHE,RUA NHENGAIBAS,356,,03160-040,+55 11 2965-3547,,,,35181304,CR.P.CONV
2977,OLIVIA PALITO BERCARIO MATERNAL JARDIM,R PADRE ESTEVAO PERNET,836,,03315-000,,,,,35164124,EP
2978,JOAO BORGES PROFESSOR,R ITAPURA,976,,03310-000,+55 11 2296-4821,+55 11 2097-3591,,e002173a@educacao.sp.gov.br,35002173,EE
2979,MAYARA RODRIGUES COLEGIO,AV EDU CHAVES,1684,,02229-001,+55 11 2242-7651,,,colegio.mayararodrigues@hotmail.com,35177556,EP
2980,MONTE SINAI COLEGIO,R MAJOR BARACCA,1479,,02232-000,+55 11 2248-3775,,,colegio.montesinai@uol.com.br,35290415,EP
2981,PIRAMIDE ESCOLA DE EDUCACAO INFANTIL E BERCARIO,R FRANCISCO ZICARDI,246,,03335-090,+55 11 2671-1541,,,,35477761,EP
2982,LAR ESCOLA MAE DO DIVINO AMOR,R FRANCISCO ZICARDI,420,,03335-090,+55 11 2671-7677,,,lemda@uol.com.br,35190354,PRIVADA - FILANTRÓPICA
2983,JAQUELINE TAVARES STUDIO DE BALLET,RUA CANTAGALO,743,,03319-000,+55 11 2294-4167,+55 11 2296-5471,,,35260915,EP
2984,EDU CHAVES AVIADOR EMEI,AV EDU CHAVES,1561,,02229-001,+55 11 2242-8212,+55 11 2242-9979,,,35052498,EMEI
2985,DUTRA PRESIDENTE EMEI,RUA SANTO ELIAS,146,,03086-050,+55 11 2097-2247,+55 11 2295-3726,+55 11 2097-2247,,35052425,EMEI
2986,CHAVE DO TAMANHO BABY ESCOLA EDUCACO INFANTIL,RUA CARLOTA LUIZA DE JESUS,157,,03086-060,,,,,35266504,EP
2987,PILAR FUENTES ROMEU PROFA CENTRO DE EDUCACAO INFANTIL,RUA JOAO BIZARRO DA NAVE,241,,03351-100,+55 11 2936-4184,,,,35433159,CEI INDIR
2988,CANTINHO DA JOANINHA SAPECA ESCOLA DE EDUCACAO INFANTIL,AV JOSE MARIA FERNANDES,1050,,02185-031,+55 11 2631-1210,,,,35334583,EP
2989,MARIA ANTONIETTA DE CASTRO PROFA,R INACIO FIRMO,65,,02161-100,+55 11 2201-4515,+55 11 2212-1615,+55 11 2201-4515,e904272a@educacao.sp.gov.br,35904272,EE
2990,JACKSON DE FIGUEIREDO EMEF,RUA ITAPURA,210,,03310-000,+55 11 2295-4085,+55 11 2296-5234,+55 11 2296-5234,,35054380,EMEF
2991,JOAO PAULO I,AV EDU CHAVES,1500,,02229-000,,,,,35573206,EDUCAÇÃO COMPLEMENTAR
2992,ANTONIO TOZELLI CONEGO CRECHE,AV EDU CHAVES,1500,,02229-001,+55 11 2247-0436,,,,35183313,CR.P.CONV
2993,LUMIERE COLEGIO,R EMILIO MALLET,625,,03320-000,+55 11 3791-4809,,,lumiere@colegiolumiere.com.br,35132986,EP
2994,BENEDITA RIBAS F SILVEIRA PROFESSORA,R JOSE TAVARES DE SIQUEIRA,198,,03085-030,+55 11 2296-2558,,+55 11 2942-7902,e002227a@educacao.sp.gov.br,35002227,EE
2995,JULIO MARCONDES SALGADO GENERAL EMEF,AV EDU CHAVES,1289,,02229-001,+55 11 2249-2201,+55 11 2242-9673,,,35054458,EMEF
2996,ANA NERI EMEI,RUA SOLDADO ALBINO CESAR,25,,02180-010,+55 11 2967-5643,+55 11 2967-5166,+55 11 2954-0558,,35052590,EMEI
2997,ACALANTO CRECHE INDIRETA,RUA DAS VERBENAS,306,,03144-020,+55 11 2341-1592,,,,35181420,CEI INDIR
2998,HUMBERTO REIS COSTA ESCOLA SENAI,R ARACATI-MIRIM,115,,03227-160,+55 11 2100-2150,,,senaivilaalpina@sp.senai.br,35147761,SENAI
2999,SAO JUDAS EXTERNATO,AV JOSE MARIA FERNANDES,883,893,02185-030,+55 11 2967-1555,+55 11 2967-7637,,esjudas@esj.com.br,35100833,EP
3000,NOSSA SENHORA DAS GRACAS INSTITUTO EDUCACIONAL COLEGIO,RUA CARLOS DOS SANTOS,1549,,02234-001,+55 11 2249-2948,+55 11 2242-7105,+55 11 2243-0156,faleconosco@insgra.com.br,35800089,EP
3001,JARDIM CABUCU CRECHE DO,RUA JAN MONET,149,,02238-210,+55 11 2242-0102,+55 11 2241-8084,,,35183180,CEI INDIR
3002,O RECREIO ALEGRE ESCOLA INFANTIL,RUA VILELA,96,,03068-000,,,,,35126342,EP
3003,AQUARELA BERCARIO E NUCLEO DE RECREACAO INFANTIL,RUA ARMINDO GUARANA,18,,03335-070,+55 11 2671-7759,,,,35444157,EP
3004,CARVALHO GOUVEIA ESCOLA,R CAETANO PIMENTEL DO VABO,146,,03227-010,+55 11 2347-2636,,,,35808659,EP
3005,AGOSTINIANO MENDEL COLEGIO,R PADRE ESTEVAO PERNET,620,,03315-000,+55 11 2941-3266,,+55 11 2193-0301,agostinet@agostinet.g12.br,35136931,PRIVADA - FILANTRÓPICA
3006,CORNELIO PIRES EMEI,PRACA MANOEL DE MESQUITA,15,,03350-040,+55 11 2028-3688,+55 11 2965-9013,+55 11 2028-3688,,35085510,EMEI
3007,EMILIANO DI CAVALCANTI EMEF,RUA ALM ALEXANDRINO,541,,03350-010,+55 11 2028-3756,+55 11 6966-7839,+55 11 6966-7839,,35053028,EMEF
3008,GOMES CARDIM INTENDENTE EMEI,LARGO NSRA DO BOM PARTO,SN,,03322-080,+55 11 2091-3194,+55 11 2295-7940,+55 11 2091-3194,,35052450,EMEI
3009,HEROIS DA FEB,RUA SOLDADO BENEDITO ELISEU DOS SANTOS,SN,,02177-020,+55 11 2954-5915,,+55 11 2967-7056,e000796a@educacao.sp.gov.br,35000796,EE
3010,ARCO IRIS COLEGIO,RUA SANTA ELIZA,342,,03159-150,+55 11 2966-8590,,+55 11 2966-8590,colegio.arcoiris@gmail.com,35163582,EP
3011,JULIO LAMAS RIVERA DOUTOR CRECHE,AV DO POETA,473,,02161-160,+55 11 2201-4266,+55 11 2983-5723,,,35183404,CEI INDIR
3012,CIDADE FERNAO DIAS EMEI,RUA DO BANDOLIM,27,,02161-080,+55 11 2931-7209,+55 11 6200-6349,+55 11 2202-9879,,35085509,EMEI
3013,ADRIANA SODRE PROFA ESCOLA DE EDUCACAO INFANTIL,AV JOAO SIMAO DE CASTRO,685,,02141-000,+55 11 2212-6423,,+55 11 2202-6423,escolaadrianasodre@ig.com.br,35178056,EP
3014,WOLNY CARVALHO RAMOS PROFESSOR,R BOM JESUS,909,,03344-000,+55 11 2965-7592,+55 11 2965-1370,+55 11 2965-7592,e001624a@educacao.sp.gov.br,35001624,EE
3015,DISCERE LABORATUM COLEGIO,R EUCLIDES PACHECO,595,,03321-000,+55 11 2091-1188,+55 11 2097-2964,+55 11 2295-3300,discerelaboratum@discere.com.br,35144824,EP
3016,LYLY BYAN II,AV MENDES DA ROCHA,101,,02227-000,+55 11 2209-3387,,,,35343328,CR.P.CONV
3017,LICEU SAINT LOUIS COLEGIO,AV FRANCISCO FALCONI,126,,03227-000,+55 11 2345-9079,,,,35300412,EP
3018,ANTONIO SANT'ANA GALVAO FREI EMEF,RUA GENERAL JERONIMO FURTADO,715,,02237-000,+55 11 2241-7328,,,,35054446,EMEF
3019,JARDIM GUANCA CRECHE,AL PRIMEIRO-SARGENTO OSMAR CORTEZ CLARO,120,,02145-050,+55 11 2983-5723,,,,35183398,CEI INDIR
3020,NOSSO LAR I CRECHE,R ANALIA FRANCO,238,,03344-040,,,,,35182308,CR.P.CONV
3021,TUTTO AMORE COLEGIO,R EUCLIDES PACHECO,522,,03321-001,+55 11 2097-4976,+55 11 3571-5009,,fundamental@tuttoamore.com.br,35813710,EP
3022,PLENITUDE ESCOLA DE EDUCACAO INFANTIL,R PINHEIRO GUIMARAES,921,,03141-030,+55 11 2347-0720,,,,35456895,EP
3023,ANGELUZ ESCOLA,R FRANCISCO FERREIRA DE CARVALHO,42,,02233-110,+55 11 2243-0453,+55 11 2243-0733,+55 11 2243-3358,escola.angeluz@bol.com.br,35451046,EP
3024,ALMA MATER ESCOLA DE EDUCACAO INFANTIL,R AZEVEDO SOARES,721,,03322-000,+55 11 2094-3466,,,,35445198,EP
3025,SAO FRANCISCO DE ASSIS COLEGIO,R EUCLIDES PACHECO,478,,03321-000,+55 11 2295-3273,+55 11 2295-4952,+55 11 2293-0868,csfa@csfa.com.br,35101813,PRIVADA - FILANTRÓPICA
3026,HELENA DA SILVA TEIXEIRA CRECHE CENTRO INFANTIL,RUA DAS DALIAS,326,,03202-060,+55 11 2341-8525,,,,35181390,CR.P.CONV
3027,ADVENTISTA DE VILA ALPINA COLEGIO,R LOMBROSO,109,,03202-050,+55 11 2341-6990,,,,35134673,EP
3028,SANTA VIRGINIA ESCOLA DE EDUCACAO INFANTIL,SANTA VIRGINIA,450,,03084-000,+55 11 2092-8258,,,,35293039,EP
3029,JOSE ALOYSIO RODRIGUES CORREA PROF EMEI,RUA MALAGA,391,,03157-030,,+55 11 2965-6477,+55 11 2028-3761,,35094766,EMEI
3030,BARAO DE MAUA EMEF,RUA MADRID,550,,03157-010,+55 11 2965-4817,+55 11 2028-3737,+55 11 2028-3737,,35055062,EMEF
3031,CASTELO BRANCO COLEGIO,R BOM JESUS,822,,03344-000,+55 11 2966-0535,+55 11 2021-3457,,castelobranco.escola@yahoo.com.br,35199825,EP
3032,ANNITA ATALLA PROFESSORA,RUA LOURENCO CAETANO DA SILVA,18,,03227-020,+55 11 2345-6573,+55 11 2345-5768,,e001764a@educacao.sp.gov.br,35001764,EE
3033,AMORIM COLEGIO,RUA CANTAGALO,339,337,03319-000,+55 11 2293-9393,,+55 11 2293-9166,secretaria@colegioamorim.com.br,35808301,EP
3034,ESPERANTO COLEGIO,R SANTA VIRGINIA,419,,03084-000,+55 11 2296-3429,+55 11 2293-3391,,cyschiavon@hotmail.com,35164082,EP
3035,DOCE INFANCIA NUCLEO DE RECREACAO INFANTIL,R MARIO AUGUSTO DO CARMO,331,,03227-070,+55 11 2347-0641,,,,35801148,EP
3036,CONDE DOMINGOS COLEGIO,R ARTUR MENDONCA,200,,03067-040,+55 11 2295-1003,+55 11 2296-9572,,colegio@colegiocondedomingos.com.br,35060574,EP
3037,PAULO MONTE SERRAT PROFESSOR,R TORIBA,141,,03191-130,+55 11 2965-7796,+55 11 2965-6609,+55 11 2965-7796,e001399a@educacao.sp.gov.br,35001399,EE
3038,ALBERTO SANTOS DUMONT EMEF,RUA TENENTE SOTOMANO,1920,,02226-001,+55 11 2931-7413,+55 11 2202-5955,+55 11 2201-8090,,35054410,EMEF
3039,CIDADANIA E VIDA NUCLEO EDUCACIONAL,AV TENENTE AMARO FELICISSIMO DA SILVEIRA,792,,02177-000,+55 11 3451-3561,+55 11 2636-2965,,educacao@nccv.org.br,35450625,PRIVADA - CONFESSIONAL
3040,GATO XADREZ COLEGIO,RUA HENRIQUE LINDEMBERG,178/80,,03067-030,+55 11 2294-5297,+55 11 2227-5297,+55 11 2942-9004,colegio@colegiogatoxadrez.com.br,35140776,EP
3041,LUIS GAMA EMEI,RUA INVASAO DOS HOLANDESES,45,,02141-070,+55 11 2931-7847,+55 11 2202-5675,+55 11 2931-7847,,35095576,EMEI
3042,NOSSA SENHORA APARECIDA EDUCANDARIO,RUA DAS VALERIANAS,230,,03201-060,+55 11 2341-1738,,,,35101643,PRIVADA - FILANTRÓPICA
3043,ELIZABETH DE SOUZA CRECHE,RUA FLOR DE OURO,413,,02281-010,+55 11 6246-4728,,,,35183167,CEI INDIR
3044,PROVINCIA DE NAGASAKI,R DORANDIA,158,,02234-080,+55 11 2242-8366,+55 11 2242-5745,,e048021a@educacao.sp.gov.br,35048021,EE
3045,GENTE DA GENTE COLEGIO,R DO ORFANATO,1567,,03131-010,+55 11 2965-9926,,,colegiogg@hotmail.com,35199874,EP
3046,TERRA MATER ESCOLA INFANTIL,RUA PICO NEGRO,107,,03346-100,+55 11 2537-2623,,,,35443578,EP
3047,HELENA QUINTA REIS CEI INDIRETA,RUA DAS MIMOSAS,175,,03144-010,+55 11 2345-9781,,,,35130000,CEI INDIR
3048,CENTRO INTERESCOLAR OBJETIVO UNIDADE TATUAPE,R COELHO LISBOA,334,,03323-040,+55 11 2941-5249,,+55 11 2942-7342,tatuape@unip.br,35133395,EP
3049,EVOLUCAO INSTITUTO DE ENSINO UNIDADE II,R MANUEL ONHA,113,,03192-100,+55 11 2966-5068,,+55 11 2965-2600,atendimento@instevolucao.com.br,35164525,EP
3050,PETIT ENFANT ESCOLA DE EDUCACAO INFANTIL,R FREIRE DE ANDRADE,44,,03334-010,,,,,35447250,EP
3051,AUGUSTO MARTINS GOMES ESCOLA INTEGRADAS,R MIGUEL MOTA,502,,03191-110,+55 11 2506-0148,,,eiamg@uol.com.br,35118497,EP
3052,HEITOR VILLA LOBOS COLEGIO,AV EDU CHAVES,414,,02229-000,+55 11 2242-3022,+55 11 2243-1906,,secretaria1@colegioheitorvillalobos.com.br,35171189,EP
3053,ELUZAI COLEGIO,AV MANUEL ANTONIO GONCALVES,332,,02152-000,+55 11 2982-0523,,,colegioeluzai@hotmail.com,35307816,EP
3054,JARDIM BRASIL CRECHE,RUA JOTA CARLOS,2,,02226-130,+55 11 2987-8255,+55 11 2949-7041,,,35183179,CEI INDIR
3055,INNOVARE COLEGIO,R ANALIA FRANCO,121,,03344-040,+55 11 2021-2415,,,colegioinnovare@colegioinnovare.com.br,35438728,EP
3056,JOAO CLIMACO DA SILVA KRUSE PROFESSOR,R TUIUTI,2965,,03307-005,+55 11 2673-2414,,+55 11 2673-4100,e002012a@educacao.sp.gov.br,35002012,EE
3057,BRINCAR DE AMARELINHA ESCOLA DE EDUCACAO INFANTIL,RUA DOM ANDRE LAMAS,244,,03084-020,+55 11 2093-7733,,,,35156991,EP
3058,TALES DE MILETO COLEGIO,R PLATINA,287,,03308-010,+55 11 2676-3009,,,talesvestibulares@uol.com.br,35803259,EP
3059,SAO FRANCISCO DE PAULA COLEGIO,AV MARECHAL ARGOLO FERRAO,262,,02139-000,+55 11 2201-4276,+55 11 2951-9548,,darlenetelles@terra.com.br,35118679,EP
3060,ASCENDINO REIS PROFESSOR,R TUIUTI,2865,,03307-005,+55 11 2673-0125,+55 11 2673-4996,+55 11 2673-0125,e002252a@educacao.sp.gov.br,35002252,EE
3061,MARIA ISABEL P A RIBEIRO PROFA EMEI,RUA FRANCISCO F MACHADO,160,,02139-020,+55 11 2931-5773,+55 11 2201-0303,+55 11 2931-5773,,35052541,EMEI
3062,FRANCISCO MARCONDES DE OLIVEIRA CRECHE MUNICIPAL,RUA CARLOS DOS SANTOS,815,,02234-000,+55 11 2242-0254,+55 11 2949-2164,,,35238314,CEI DIRET
3063,BABY MATER ESCOLA DE EDUCACAO INFANTIL,AV ZELINA,1160,,03143-002,+55 11 2341-3380,,,,35157348,EP
3064,VICTOR DOS SANTOS CUNHA PROF,AV JOAO SIMAO DE CASTRO,280,,02141-000,+55 11 2201-5427,+55 11 2202-2320,,e001028a@educacao.sp.gov.br,35001028,EE
3065,THEODORO DE MORAES PROFESSOR,AV REGENTE FEIJO,586,,03342-000,+55 11 2966-7990,+55 11 2965-0807,+55 11 2966-7990,e001387a@educacao.sp.gov.br,35001387,EE
3066,VILA MARIA VILA GUILHERME CIEJA,RUA FRANCISCO FRANCO MACHADO,68,,02139-020,+55 11 2951-0216,+55 11 2981-7284,+55 11 2981-7284,,35256456,CIEJA
3067,FRANCISCO DA COSTA GUEDES,AV DAS CEREJEIRAS,2435,,02124-002,+55 11 2212-3422,,+55 11 2949-4536,e037370a@educacao.sp.gov.br,35037370,EE
3068,CANTINHO ENCANTADO ESCOLA DE EDUCACAO INFANTIL,R EUCLIDES PACHECO,152,,03321-000,+55 11 2098-0031,,,,35157387,EP
3069,INNOVARE KIDS COLEGIO,R ANALIA FRANCO,218,,03344-040,+55 11 2605-1220,,,,35321692,EP
3070,MAXIMO RIBEIRO NUNES PROFESSOR,RUA SOLDADO ANTONIO ROMANO DE OLIVEIRA,174,,02176-020,+55 11 2954-5480,,+55 11 2631-4422,e039214a@educacao.sp.gov.br,35039214,EE
3071,INTEGRAR COLEGIO,RUA DOM ANDRES LAMAS,145,,03084-020,+55 11 2941-3299,+55 11 3854-5178,+55 11 2295-9687,administracao@colegiointegrar.com.br,35190469,EP
3072,LA FONTAINE COLEGIO,RUA AZEVEDO SOARES,318,328/330/338,03322-000,+55 11 2672-3267,+55 11 2671-5047,+55 11 2672-3267,lafontaine@colegiolafontaine.com.br,35164100,EP
3073,LA FONTAINE BABY COLEGIO,R DEMETRIO RIBEIRO,589,,03332-000,+55 11 2673-5181,,,,35323287,EP
3074,ENEAS CARVALHO AGUIAR EMEF,RUA FRANCISCO FRANCO MACHADO,74,,02139-020,+55 11 2201-0522,+55 11 2201-0291,+55 11 2201-0291,,35054434,EMEF
3075,AMERICO DE MOURA PROFESSOR,RUA MENDONCA CORTE REAL,SN,,03227-110,+55 11 2345-6633,,,e001855a@educacao.sp.gov.br,35001855,EE
3076,ERASMO BRAGA,R MARIA EUGENIA,190,,03081-030,+55 11 2093-5166,,+55 11 2093-5182,e002100a@educacao.sp.gov.br,35002100,EE
